Genes,adjpval,log2FC,color
AARS1,0.259301356792019,-0.1109273273306712,grey
PRPF4,0.641709574190189,0.077698267582711,grey
PRUNE1,0.189088270726494,0.3337109936126096,grey
PRTFDC1,0.549925994098234,-0.0499064982813172,grey
PRSS3,0.968417510821235,-0.0274331826655667,grey
PRRT2,0.926645157999054,0.0189223508294502,grey
PRRC2C,0.8767211721763,0.0505014666545864,grey
PRPSAP2,0.157248074447943,0.1652913353572551,grey
PRPSAP1,0.0555550280233734,0.2376103641080175,grey
PRPS1,0.287935060896094,-0.2022696228527432,grey
PRPH,0.0361392069405881,0.2456980956977452,grey
PRPF8,0.0449270079656705,0.3034362723416401,grey
PRPF6,0.869730130289714,-0.0180529801599481,grey
PRPF4B,0.115989087359411,-0.2451127071474489,grey
PRPF40A,0.0825203876208177,0.194531712016589,grey
PRPF3,0.414697821836914,-0.0739312874975115,grey
PSAP,0.0540773739213971,0.9003081015893863,grey
PRMT1,0.97143800975604,-0.0053222898804709,grey
PRKRA,0.200594885288066,-0.1120812083569682,grey
PRKG2,0.294072011696088,-0.2696395817567373,grey
PRKDC,0.0105852270829879,0.3894764427652845,grey
PRKCSH,0.0524105750063278,-0.2659634335919486,grey
PRKAR2B,0.37111962018717,-0.0830792228600463,grey
PRKAR2A,0.0549639030380715,0.3486036493497557,grey
PRKAR1A,0.519731899046222,0.1121449992300693,grey
PRKAG1,0.0130468854445531,0.4335080628277192,grey
PREP,0.0284748142757035,0.2546375071764418,grey
PRDX6,0.0592062626796289,0.2184744952852986,grey
PRDX5,0.0844647380947209,0.1852296499754879,grey
PRDX4,0.0054316279593602,0.9085927515588352,grey
PRXL2A,0.639916927933442,0.0427886689768711,grey
PSIP1,0.940187133610667,-0.0240099718088422,grey
PHB1,0.841568849790936,-0.0671000937026128,grey
PSMC2,0.0159342203592978,0.3090180242919702,grey
PSMD4,0.0510256851363673,-0.3104907466571907,grey
PSMD3,0.0063547574695781,0.4675276791736355,grey
PSMD2,0.0093655938327697,0.3869985233182706,grey
PSMD14,0.00853890765457,0.462113093847045,grey
PSMD13,0.0118608735958738,0.5638945478577605,grey
PSMD12,0.0345541982395937,0.4158988475439166,grey
PSMD11,0.0110891268483664,0.4489964822302427,grey
PSMD10,0.0675174479575098,0.2628130737222525,grey
PSMD1,0.0185983966524702,0.4103659736216366,grey
PSMC6,0.0215162705561468,0.3434244192345106,grey
PSMC5,0.0158443013528095,0.3342279321002044,grey
PSMC4,0.0331821157186383,0.2853605063442185,grey
PSMC3,0.0229114028032148,0.2921634626270233,grey
PSMC1,0.0961391505522714,0.2402191037077546,grey
PSMA1,0.0071547845775973,0.475575754090129,grey
PSMB7,0.0008678033201834,1.0452198986465282,grey
PSMB6,0.170476522013369,0.2650057419045232,grey
PSMB5,0.30739382043827,0.0923493780046375,grey
PSMB4,0.0691024626848339,0.3413658048445694,grey
PSMB3,0.576339883703008,0.0955598271487121,grey
PSMB2,0.0524105750063278,0.3171814567790323,grey
PSMB1,0.0035680656980613,0.5511006815514667,grey
PSMA7,0.0130468854445531,0.3553112524340091,grey
PSMA6,0.0071547845775973,0.546274371346322,grey
PSMA5,0.0062680438564334,0.561854489945023,grey
PSMA4,0.0338533942148103,0.3140344785587419,grey
PSMA3,0.0035680656980613,0.8260628837724093,grey
PSMA2,0.0693236215969607,0.2631401313588485,grey
PRDX3,0.760489518586925,0.0338477197170681,grey
PRDX2,0.343951025772434,0.1023159057971964,grey
PRDX1,0.0573563115496094,0.2875476502721525,grey
PLD3,0.170782867683537,0.1593856156858789,grey
PODXL2,0.0099842816119567,-0.7985933313124884,grey
PNPLA8,0.297271073383404,-0.1064529333828103,grey
PNPLA4,0.427984720751082,0.0604628115212232,grey
PNO1,0.708965555455766,-0.0690856058257029,grey
PNN,0.0221670116773839,0.3607824217004191,grey
PMS1,0.131482108816827,0.1425289003005034,grey
PMPCB,0.97143800975604,0.013991585256099,grey
PMM2,0.171579353872067,0.2198652508411783,grey
PMM1,0.0632102083024211,0.3964784384297264,grey
PMEL,0.156303785585431,-0.3122655963434383,grey
PLXNA1,0.0067918288114361,-0.6512943847591337,grey
PLEKHJ1,0.972230902732468,0.1317483123485872,grey
PLEKHA5,0.561150579017813,0.0515987513081944,grey
PLCG1,0.129428472498773,0.2047132385639714,grey
PRCP,0.142026368968279,-0.2828096135649525,grey
PLCB4,0.216708793753045,0.1932718302803181,grey
PLBD2,0.0037752105850153,-0.6990675342671446,grey
PLAA,0.0403091658750245,-0.3395088407919188,grey
